"Ticket created - Year";"Ticket created - Month";"Created";"Solved tickets"
"2018";"January";"";""
"2018";"February";"";""
"2018";"March";"";""
"2018";"April";"";""
"2018";"May";"";""
"2018";"June";"3.00000000000000000000";"3.00000000000000000000"
"2018";"July";"";""
"2018";"August";"";""
"2018";"September";"";""
"2018";"October";"1714.00000000000000000000";"1714.00000000000000000000"
"2018";"November";"4985.00000000000000000000";"4985.00000000000000000000"
"2018";"December";"4786.00000000000000000000";"4786.00000000000000000000"
"2019";"January";"4755.00000000000000000000";"4755.00000000000000000000"
"2019";"February";"14463.00000000000000000000";"14463.00000000000000000000"
"2019";"March";"13305.00000000000000000000";"13305.00000000000000000000"
"2019";"April";"5023.00000000000000000000";"5023.00000000000000000000"
"2019";"May";"5158.00000000000000000000";"5158.00000000000000000000"
"2019";"June";"5127.00000000000000000000";"5127.00000000000000000000"
"2019";"July";"5214.00000000000000000000";"5214.00000000000000000000"
"2019";"August";"4756.00000000000000000000";"4756.00000000000000000000"
"2019";"September";"4851.00000000000000000000";"4851.00000000000000000000"
"2019";"October";"4903.00000000000000000000";"4903.00000000000000000000"
"2019";"November";"4038.00000000000000000000";"4038.00000000000000000000"
"2019";"December";"4641.00000000000000000000";"4641.00000000000000000000"
"2020";"January";"4232.00000000000000000000";"4232.00000000000000000000"
"2020";"February";"3943.00000000000000000000";"3943.00000000000000000000"
"2020";"March";"3960.00000000000000000000";"3960.00000000000000000000"
"2020";"April";"2985.00000000000000000000";"2985.00000000000000000000"
"2020";"May";"3037.00000000000000000000";"3037.00000000000000000000"
"2020";"June";"3404.00000000000000000000";"3404.00000000000000000000"
"2020";"July";"3115.00000000000000000000";"3115.00000000000000000000"
"2020";"August";"3177.00000000000000000000";"3177.00000000000000000000"
"2020";"September";"3788.00000000000000000000";"3788.00000000000000000000"
"2020";"October";"3166.00000000000000000000";"3166.00000000000000000000"
"2020";"November";"3642.00000000000000000000";"3642.00000000000000000000"
"2020";"December";"5019.00000000000000000000";"5019.00000000000000000000"
"2021";"January";"3608.00000000000000000000";"3607.00000000000000000000"
"2021";"February";"3749.00000000000000000000";"3748.00000000000000000000"
"2021";"March";"4580.00000000000000000000";"4578.00000000000000000000"
"2021";"April";"3743.00000000000000000000";"3742.00000000000000000000"
"2021";"May";"3255.00000000000000000000";"3251.00000000000000000000"
"2021";"June";"4119.00000000000000000000";"4112.00000000000000000000"
"2021";"July";"4472.00000000000000000000";"4471.00000000000000000000"
"2021";"August";"4895.00000000000000000000";"4893.00000000000000000000"
"2021";"September";"6037.00000000000000000000";"5939.00000000000000000000"
"2021";"October";"5687.00000000000000000000";"5625.00000000000000000000"
"2021";"November";"5880.00000000000000000000";"5817.00000000000000000000"
"2021";"December";"6416.00000000000000000000";"6359.00000000000000000000"
"2022";"January";"4854.00000000000000000000";"4777.00000000000000000000"
"2022";"February";"4406.00000000000000000000";"4283.00000000000000000000"
"2022";"March";"5224.00000000000000000000";"4983.00000000000000000000"
"2022";"April";"4215.00000000000000000000";"3515.00000000000000000000"
"2022";"May";"";""
"2022";"June";"";""
"2022";"July";"";""
"2022";"August";"";""
"2022";"September";"";""
"2022";"October";"";""
"2022";"November";"";""
"2022";"December";"";""
