"Ticket created - Year";"Ticket created - Month";"Created";"Solved tickets"
"2019";"January";"1.00000000000000000000";"1.00000000000000000000"
"2019";"February";"3.00000000000000000000";"3.00000000000000000000"
"2019";"March";"505.00000000000000000000";"505.00000000000000000000"
"2019";"April";"966.00000000000000000000";"966.00000000000000000000"
"2019";"May";"985.00000000000000000000";"985.00000000000000000000"
"2019";"June";"920.00000000000000000000";"920.00000000000000000000"
"2019";"July";"928.00000000000000000000";"928.00000000000000000000"
"2019";"August";"738.00000000000000000000";"738.00000000000000000000"
"2019";"September";"920.00000000000000000000";"920.00000000000000000000"
"2019";"October";"990.00000000000000000000";"990.00000000000000000000"
"2019";"November";"969.00000000000000000000";"969.00000000000000000000"
"2019";"December";"828.00000000000000000000";"828.00000000000000000000"
"2020";"January";"1028.00000000000000000000";"1028.00000000000000000000"
"2020";"February";"1009.00000000000000000000";"1009.00000000000000000000"
"2020";"March";"1221.00000000000000000000";"1221.00000000000000000000"
"2020";"April";"1072.00000000000000000000";"1072.00000000000000000000"
"2020";"May";"1105.00000000000000000000";"1105.00000000000000000000"
"2020";"June";"1606.00000000000000000000";"1606.00000000000000000000"
"2020";"July";"1607.00000000000000000000";"1607.00000000000000000000"
"2020";"August";"908.00000000000000000000";"908.00000000000000000000"
"2020";"September";"1536.00000000000000000000";"1536.00000000000000000000"
"2020";"October";"1411.00000000000000000000";"1410.00000000000000000000"
"2020";"November";"1616.00000000000000000000";"1616.00000000000000000000"
"2020";"December";"1644.00000000000000000000";"1643.00000000000000000000"
"2021";"January";"1595.00000000000000000000";"1595.00000000000000000000"
"2021";"February";"1698.00000000000000000000";"1697.00000000000000000000"
"2021";"March";"2059.00000000000000000000";"2059.00000000000000000000"
"2021";"April";"1791.00000000000000000000";"1790.00000000000000000000"
"2021";"May";"1758.00000000000000000000";"1757.00000000000000000000"
"2021";"June";"1977.00000000000000000000";"1975.00000000000000000000"
"2021";"July";"1805.00000000000000000000";"1798.00000000000000000000"
"2021";"August";"2099.00000000000000000000";"2099.00000000000000000000"
"2021";"September";"2080.00000000000000000000";"2074.00000000000000000000"
"2021";"October";"2088.00000000000000000000";"2078.00000000000000000000"
"2021";"November";"3402.00000000000000000000";"3391.00000000000000000000"
"2021";"December";"2841.00000000000000000000";"2832.00000000000000000000"
"2022";"January";"2631.00000000000000000000";"2597.00000000000000000000"
"2022";"February";"2993.00000000000000000000";"2945.00000000000000000000"
"2022";"March";"4042.00000000000000000000";"3871.00000000000000000000"
"2022";"April";"3204.00000000000000000000";"2989.00000000000000000000"
"2022";"May";"";""
"2022";"June";"";""
"2022";"July";"";""
"2022";"August";"";""
"2022";"September";"";""
"2022";"October";"";""
"2022";"November";"";""
"2022";"December";"";""
